,gameId,polarity_1,subjectivity_1,polarity_2,subjectivity_2,polarity_4,subjectivity_4,polarity_8,subjectivity_8
103540,mads-bech-sorensen_2023-01-02,-0.19806369219016284,0.5183307718425368,-0.16195206389811176,0.5503597818031645,-0.15773872754639034,0.5375807126174867,-0.12260250914946116,0.5322089384079614
773644,mads-roerslev-rasmussen_2023-01-02,-0.19806369219016284,0.5183307718425368,-0.16195206389811176,0.5503597818031645,-0.15773872754639034,0.5375807126174867,-0.12260250914946116,0.5322089384079614
559315,rico-henry_2023-01-02,-0.19806369219016284,0.5183307718425368,-0.16195206389811176,0.5503597818031645,-0.15773872754639034,0.5375807126174867,-0.12260250914946116,0.5322089384079614
241891,adam-smith-1991-04-29_2023-01-03,-0.09433298725256127,0.5281026579558818,-0.04686531454220681,0.508394816721922,-0.07656397263332503,0.49514465234076965,-0.08790130942976337,0.4934135692708921
654306,lloyd-kelly_2023-01-03,-0.09433298725256127,0.5281026579558818,-0.04686531454220681,0.508394816721922,-0.07656397263332503,0.49514465234076965,-0.08790130942976337,0.4934135692708921
732736,james-tarkowski_2023-01-03,0.0038826528409861743,0.49664887581554273,-0.038438525834359166,0.5130376738710074,0.007187881052488595,0.5079063319352873,0.02350621449360747,0.5146494904142489
416929,marcos-senesi_2023-01-03,-0.09433298725256127,0.5281026579558818,-0.04686531454220681,0.508394816721922,-0.07656397263332503,0.49514465234076965,-0.08790130942976337,0.4934135692708921
813690,seamus-coleman_2023-01-03,0.0038826528409861743,0.49664887581554273,-0.038438525834359166,0.5130376738710074,0.007187881052488595,0.5079063319352873,0.02350621449360747,0.5146494904142489
752273,ashley-young_2023-01-04,0.07816797054465217,0.5152091057920657,0.09193753812206423,0.5175677320779623,0.08585537647674982,0.5193892133780069,0.06479216988169167,0.5316216744249477
588626,hugo-bueno_2023-01-04,-0.07816797054465217,0.5152091057920657,-0.09193753812206423,0.5175677320779623,-0.08585537647674982,0.5193892133780069,-0.06479216988169167,0.5316216744249477
22493,charalampos-lykogiannis_2023-01-04,-0.024970530180047235,0.5417970594746166,-0.04012260186454375,0.5387596651755363,-0.05768478160929959,0.5312303563262643,-0.08758698737586519,0.5375048516802126
837074,federico-julian-fazio_2023-01-04,-0.10887651727357615,0.5674318394024277,-0.13282878269745174,0.5506755487909452,-0.13496722988232465,0.5202316372697459,-0.11658124657949798,0.5242732224272216
539654,craig-dawson_2023-01-04,-0.005802092943486396,0.5136682249899466,0.015271756156252442,0.5082665390009293,0.025832229397695552,0.5200212635054349,0.053501819956872115,0.5097497069240842
549100,nathaniel-edwin-clyne_2023-01-04,-0.08982683539864383,0.4623831251490826,-0.07664410835004548,0.4936855619085405,-0.11799307564963649,0.5124985340951149,-0.101290578019234,0.5225932749984661
616933,bakary-adama-soumaoro_2023-01-04,-0.024970530180047235,0.5417970594746166,-0.04012260186454375,0.5387596651755363,-0.05768478160929959,0.5312303563262643,-0.08758698737586519,0.5375048516802126
699051,domagoj-bradaric_2023-01-04,-0.10887651727357615,0.5674318394024277,-0.13282878269745174,0.5506755487909452,-0.13496722988232465,0.5202316372697459,-0.11658124657949798,0.5242732224272216
100007,max-kilman_2023-01-04,-0.07816797054465217,0.5152091057920657,-0.09193753812206423,0.5175677320779623,-0.08585537647674982,0.5193892133780069,-0.06479216988169167,0.5316216744249477
750994,joel-ward_2023-01-04,-0.08982683539864383,0.4623831251490826,-0.07664410835004548,0.4936855619085405,-0.11799307564963649,0.5124985340951149,-0.101290578019234,0.5225932749984661
219641,emanuele-valeri_2023-01-04,-0.15104888344226586,0.5578949579831932,-0.09547419297296753,0.5504679025302492,-0.08841885362898363,0.5264534371166159,-0.07916400812439747,0.5257960286262082
89024,kalidou-koulibaly_2023-01-05,0.13581363712045527,0.5724619198788786,0.13794353946926602,0.534074713110446,0.11134445448629124,0.512035592235356,0.10848587784668567,0.5100333976367991
820934,luca-caldirola_2023-01-07,-0.04222186310421604,0.5531760396466281,-0.026687940952192513,0.5505137244524407,-0.05526367007020721,0.5382713416755145,-0.05550262840315287,0.5286383896538739
348362,armando-izzo_2023-01-07,-0.04222186310421604,0.5531760396466281,-0.026687940952192513,0.5505137244524407,-0.05526367007020721,0.5382713416755145,-0.05550262840315287,0.5286383896538739
570723,nehuen-perez_2023-01-07,-0.1811720263863122,0.5417062117776408,-0.16611045491428902,0.549800584880417,-0.11988598028473199,0.5317345886310768,-0.1060318589853802,0.5256752614711004
